Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
"apparel, wearing apparel, dress, clothes",clothing in general,"پوشاک، جامه، لباس، رخت",پوشیدنی‌ها به‌طور کلی
lie,"be lying, be prostrate; be in a horizontal position",دراز کشیدن,در یک موقعیت افقی قرار گرفتن جسم
dive,swim under water,شیرجه زدن,شنا کردن زیر آب
"not, non",negation of a word or group of words,"نا، ن",حرفی که برای منفی کردن یک کلمه به کار می‌رود
"trouser, pant","(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately","شلوار، تنبان",لباسی که از کمر تا زانو یا مچ پا کشیده می‌شود و هر پا را به صورت جداگانه می‌پوشاند
"jump, leap, bound, spring",move forward by leaps and bounds,gap,پریدن رو به جلو
"mound, hill",structure consisting of an artificial heap or bank usually of earth or stones,تپه,ساختاری متشکل از یک برآمدگی مصنوعی یا طبیعی و ساخته شده از خاک و سنگ
mushroom,common name for an edible agaric (contrasting with the inedible toadstool),قارچ,نام متداول یک رستنی که ریشه و برگ و گل ندارد و سبز نیست و مانند چتر است
"everywhere, everyplace, all over",to or in any or all places,"همه جا، سراسر",به همه مکان‌ها یا در همه مکان‌ها
"mother, female parent",a woman who has given birth to a child (also used as a term of address to your mother),"مادر، ننه، والده",زنی که فرزندی را به دنیا آورده است
"damage, harm, hurt, scathe",the act of damaging something or someone,"آسیب، صدمه، خسارت، ضرر، خراب کردن، خدشه، گزند، لطمه",عمل خراب کردن مقدار یا بخشی از چیزی یا کسی
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,"شال، روسری","""پارچه‌ای که اطراف سر یا گردن یا شانه‌ها و برای گرما یا زیبایی پوشیده می‌شود"""
cut,separate with or as if with an instrument,"بریدن، قطع کردن",جدا کردن با دست و یا ابزار
"wave, moving ridge",one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),موج,یکی از مجموعه برجستگی‌های متحرک بر روی سطح یک مایع (به‌ویژه در یک حجم بزرگی از آب)
"teacher, instructor",a person whose occupation is teaching,"معلم، مربی",شخصی که شغلش تدریس کردن است
"rise, lift, arise, move up, go up, come up, uprise",move upward,"برخاستن، بلند شدن، بالا رفتن، قیام کردن، صعود کردن، طلوع کردن، ترفیع گرفتن",حرکت رو به بالا
"daughter, girl",a female human offspring,دختر,فرزند مونث انسان
"horse, equus caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times,"اسب، مرکب",چارپایی گیاه‌خوار که سم دارد و از دوران ماقبل تاریخ اهلی شده است
"set, go down, go under",disappear beyond the horizon,غروب,ناپدید شدن از فرای خط افق
still,"with reference to action or condition; without change, interruption, or cessation",هنوز,تا این زمان و بدون تغییر و وقفه و توقف
"tendon, sinew",a cord or band of inelastic tissue connecting a muscle with its bony attachment,"تاندون، زردپی",بافتی همبند و متراکم شده است که معمولا در انتهای ماهیچه‌ها قرار دارد و عضله را به استخوان متصل می‌کند
already,prior to a specified or implied time,gap,قبل از الان یا قبل از یک زمان مشخص
"very, really, real, rattling",used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,"بسیار، واقعا، خیلی، بسی",برای تاکید و اغراق استفاده می‌شود
"death, decease, expiry",the event of dying or departure from life,"مرگ، فوت، درگذشت، دار فانی را وداع گفتن",از بین رفتن و خروج از زندگی
eat,take in solid food,خوردن,مصرف غذای جامد
fall,descend in free fall under the influence of gravity,"سقوط، افتادن",پایین آمدن و نزول تحت تاثیر نیروی گرانش
TRUE,consistent with fact or reality; not false,"درست، صحیح، راست، واقعی",سازگار با واقعیت; مخالف دروغ
"drink, imbibe",take in liquids,نوشیدن,مصرف کردن مایعات
"raise, lift, elevate, get up, bring up",raise from a lower to a higher position,"بلند کردن، برافراشتن، بالا بردن",جا به جا کردن از موقعیت فعلی به موقعیتی بالاتر
"aid, assist, assistance, help",the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,"کمک، مساعدت، یاری، دستیاری، امداد، استعانت",اعانت و مددکاری چه در کار و با و چه در جنگ
"a bit, a little, a trifle",to a small degree; somewhat,"کمی، مقداری، یکم، ذره‌ای","به مقدار بسیار کمی، تا حدودی"
"ice, water ice",water frozen in the solid state,یخ,آب یخ زده و به شکل جامد درآمده
saw,cut with a saw,اره کردن,بریدن با استفاده از اره
"soon, shortly, presently, before long",in the near future,"به‌زودی، عنقریب، خیلی زود",در آینده نزدیک
"frost, hoar, hoarfrost, rime",ice crystals forming a white deposit (especially on objects outside),gap,کریستال‌های یخی که رسوبی سفید تشکیل می‌دهند (به خصوص بر روی اجسامی که خارج از فضای بسته قرار دارند)
"invite, ask over, ask round",invite someone to one's house,دعوت کردن,خواهش کردن به کسی جهت آمدن به مهمانی یا خانه یا محفل یا انجام کاری
"tongue, lingua, glossa, clapper",a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,زبان,جزوی گوشتین واقع در دهان انسان و بیشتر حیوانات که تواند حرکت کند و در فرو بردن غذا و چشیدن و تکلم بکار میرود
arrow,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow,"فلش، پیکان، تیر، سهم",چوب راست و باریک با نوکی آهنین و تیز که با کمان آن را پرتاب کنند
"tumble, topple","fall down, as if collapsing","واژگون شدن، سرنگون شدن","سقوط کردن، به‌گونه‌ای که در حال فروپاشی باشد"
