Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
ikan kerapu lumpur,"ikan laut yang ukurannya dapat mencapai 100 cm, kepala besar, tubuhnya memanjang, bersisik, bagian atas tutup insang lurus, rahang atas mencapai belakang mata, dua sampai lima baris gigi pada rahang bawah, warnanya bervariasi tergantung usia, tersebar di daerah Indo-Pasifik (Epinephelus tauvina)",GAP,
es,air beku,es,banyu beku
minuman campur,"minuman yang disiapkan menurut resep tertentu dengan mengaduk, mengacak, atau menggoncangkan dua (atau lebih) macam minuman (bahan)",GAP,
seledri,"terna tegak, berbatang persegi dan beralur membujur, bunganya kecil-kecil berwarna hijau; Apium graveolens",seledri; selederi,sayur yang sering digunakan sebagai bumbu dapur atau bahan pelengkap dalam masakan
telur rebus,telur yang direbus sehingga menjadi utuh,hintalu rebus,intalu nang dijarang supaya isi intalunya jadi babantuk
kue beras,"segala jenis kue yang dibuat dari beras atau tepung beras, banyak ditemukan di Asia",wadai baras,kue khas daerah Hulu Sungai nang diulah matan tepung beras wan diulah lawan cara dipanggang
kue kering,jenis kue yg dipanggang (spt kue seprit atau biskuit),wadai karing,wadai nang karing karana dipanggang
kue dadar,kue yang menyerupai telur dadar,GAP,
gulali,penganan yg dibuat dr air gula yg kental,GAP,
kue kancing,"kue kering yang dibuat dari terigu, telur, ekstrak vanila, maizena, gula, dan pewarna makanan, berbentuk menyerupai kancing dengan krim manis aneka warna yang mengeras di atasnya",GAP,
susu lanjutan,"makanan yang berbahan dasar susu bubuk, diberikan kepada bayi sejak berusia 6 bulan sampai dengan 4 tahun",GAP,
cabai jalapeno,"buah kultivar berwarna hijau tua dan merah, rasanya pedas sekali, berasal dari Meksiko (Inocarpus fagiferus)",GAP,
karamel,cokelat yg diperoleh dr pemanasan gula tebu atau zat karbohidrat lain; gula bakar,GAP,
soto tangkar,"soto berkuah santan dengan isian utama daging sapi dan iga sapi, disajikan bersama potongan tomat dan emping",GAP,
tekokak,"perdu, batangnya berduri jarang, buahnya kecil bulat berwarna hijau, dimakan sbg lalap atau disayur; Solanum torvum",GAP,
tahu jeletot,"tahu goreng yang sangat pedas dengan isian cabai dan irisan sayuran, seperti wortel, kol, dan taoge",tahu jeletot,"tahu goreng yang diisi dengan sayuran pedas seperti wortel, kol, dan cabai"
urap,"kelapa yg diparut dan digarami (untuk makan ubi, ketan, dsb)",urap,urap adalah makanan nang diulah matan berbagai macam sayur mayur awan diberi tuping ampas kelapa muda makanan tradisiunal ini biasanya disajikan sebagai pelengkap tumpeng dalam acara khusus ilah basalamatan
cabai panjang,"tumbuhan merambat semacam sirih (lada) yang tumbuh di daerah pantai, buahnya berbentuk silinder, berwarna hijau dan keras ketika muda, setelah tua kemerah-merahan dan melunak, bijinya cokelat kehitam-hitaman sebesar butir beras, biasanya digunakan sebagai bahan jamu tradisional dan sebagainya; lada panjang; lada sulah (Piper retrofractum)",lombok panjang,
gula semut,gula bubuk atau gula kristal yang dibuat dari nira,GAP,
empedal,"kantung perut unggas (ayam, burung, dsb) tempat mencernakan makanan, sebelum makanan tiba ke dalam usus; ampela",GAP,
santan,air perahan kelapa yg sudah dikukur,GAP,
minuman,barang yang diminum,minuman,segala sesuatu yang bisa diminum
jeruk bayi,"jeruk manis dengan kulit buah yang tebal, seringkali diberikan untuk bayi karena rasanya yang manis meskipun belum matang",GAP,
sambal goang,"sambal yang dibuat dari cabai rawit dan garam, ditumbuk dalam cobek, biasanya dimakan dengan lalap",GAP,
semayi,"penganan dr ampas kelapa yg sedang tuanya, dimalamkan, diberi bumbu, dihaluskan, dan dibungkus dng daun pisang, lalu dikukus",GAP,
kentang mustofa,"makanan yang terbuat dari kentang yang dipotong kecil-kecil menyerupai korek api, digoreng sampai kering; kering kentang",GAP,
nasi ayam hainan,"nasi yang dimasak dengan kaldu ayam, berasa gurih, biasa disajikan dengan olahan ayam asal kaldu tersebut (dipanggang, digoreng, dan sebagainya) dan saus",GAP,
telur ceplok,telur ayam (itik) yang digoreng tanpa diaduk dahulu (kuning telurnya masih utuh),hintalu ceplok,intalu nang langsung digoreng kada baadukan
pakan peliharaan,makanan yang diberikan untuk peliharaan,pakan peliharaan,makanan yang diberikan kepada peliharaan untuk memenuhi kebutuhan gizi dan kesehatannya
kaldu daging,"air kuah dari daging, biasanya sapi",GAP,
gandos,"penganan, dibuat dr tepung beras, kelapa, dan garam, kemudian digoreng",GAP,
ketumbar,"tumbuh-tumbuhan yg bijinya biasa dipakai untuk rempah-rempah, Corriandrum sativum",katumbar,katumbar adalah ngaran rarampahan nang babutir halus nang rancak ditamui di masakan indunisia katumbar atawa coriandrum sativum l marupakan rampah nang dikikirakan panuhanya wan lawas sudah dipakai lawan manusia gasan bamasak
pakcoi,"sayuran berdaun membundar atau membundar telur berpinggir, tidak membonggol dengan tangkai melebar tidak bersayap, berwarna putih, putih kehijauan, atau hijau; pecai; sawi putih (Brassica rapa var. chinensis)",GAP,
buncis,"tumbuhan jenis kacang-kacangan, daun dan buahnya yg muda dibuat sayur; Phaseolus vulgaris",buncis,sayuran dari kacang
roti bakar,roti yg dibakar; roti panggang,ruti bakar,roti nang di bakar habis tuh di bari selai
teh merah,"teh dari bunga rosela, berfungsi sebagai antioksidan untuk mencegah penuaan dini, menurunkan kadar kolesterol dan gula darah, mencegah pengapuran tulang, dan sebagainya",GAP,
sambal dabu-dabu,"sambal khas Manado, dibuat dari cabai rawit, bawang merah, dan irisan tomat segar, biasanya disajikan dengan hidangan laut",GAP,
udang,"nama binatang air, berkulit keras, berkaki sepuluh, bersepit dua, berekor, dan tidak bertulang; Crustacea",udang,"hewan laut atau air tawar yang memiliki tubuh berbentuk memanjang dengan cangkang keras, serta kaki dan antena yang panjang"
satai ayam,satai dari daging ayam,sate ayam,daging ayam nang dipotong halus halus dicucuk ke bilah habis itu di bakar ba bumbu kacang wan kicap
kacang,"nama tumbuhan dan buahnya, termasuk tanaman kecil (perdu-perduan) yg ditanam di sawah atau lading, berbuah polong, macamnya banyak sekali",kacang,biji-bijian
bakso beranak,bakso berukuran besar yang di dalamnya berisi beberapa bakso berukuran kecil,bakso beranak,"bulatannya ganal di dalamnya ada bulatan daging halus (bakso), intalu, kulimbit sapi"
sereal jagung,sereal yang terbuat dari jagung,sereal jagung,makanan yang terbuat dari jagung yang diproses menjadi bentuk serpihan
air botol,air yang disimpan dalam botol,banyu butul,banyu nang disimpan dalam butul
perkedel,"penganan, dibuat dr kentang goreng atau rebus yg dihaluskan, dicampur dng daging giling, diberi bumbu merica, bawang putih, garam halus, kemudian dibentuk bundar-bundar pipih, dilumuri putih telur kemudian digoreng",ampal,adonan nang diulah dari kantang dicampur kawan bumbu dan lainnya
kentang,"tumbuhan sayuran yg menghasilkan umbi yg banyak mengandung pati, Solarium tuberosum",kentang,Tumbuhan sayuran umbi
pasta konsigli,"pasta yang berbentuk spiral yang lebih tipis, tetapi lebih panjang daripada rotini",GAP,
ikan tuna sirip kuning,"tuna berukuran besar, mencapai panjang 2,4 m, berat 204 kg (Thunna albacares)",GAP,
bayam putih,"tumbuhan yang umumnya berbatang banyak, tinggi 60 cm, daunnya kadang-kadang berwarna hijau atau ungu di tempat yang terlindung (Amaranthus lividus)",GAP,
es campur,"minuman yang terbuat dari potongan buah-buahan, tapai, kelapa muda, agar-agar, dan kolang-kaling, dibubuhi sirop, susu kental manis, dan serutan es",es campur,"Es yang dicampur lawan buah, jeli"
salai,ikan yg dikeringkan di atas api (dipanggang atau diasapi),GAP,
soto Betawi,"soto khas Betawi dengan kuah santan, berisi daging dan babat sapi, tomat, dan sebagainya",soto Betawi,"soto betawi yang menggunakan bahan utama daging sapi, jeroan, dan santan. Hidangan ini dikenal dengan kuahnya yang kental dan rasa rempah-rempah yang kaya"
kebuli,nasi yg dirempahi dan bercampur lauk-pauk,nasi kabuli,nasi kebuli
mempelam,"nama pohon dan buahnya, pohonnya tinggi, daunnya agak lonjong runcing, buahnya berkulit hijau atau kuning, daging buahnya kuning kemerahan dan lembut mengandung air, ada bijinya di dalam, Mangifera indica; mangga",GAP,
kue ape,"kue tradisional khas Betawi yang menyerupai serabi, dengan pinggiran yang lebar, tipis, dan renyah serta bagian tengah yang menonjol dan lembut, dibuat dari adonan terigu, tepung beras, dan gula pasir, biasanya diberi tambahan pasta pandan untuk memberi aroma wangi dan air perasan daun suji dan pandan sebagai pewarna alami",GAP,
cokelat hitam,"cokelat yang tidak terlalu manis dan agak pahit, biasa digunakan untuk membuat kue",GAP,
beras kisar,"beras yang kulit luar, kulit ari, dan inti biji berasnya dibuang melalui penggilingan",baras kisar,
manisan,segala sesuatu yang rasanya manis; gula-gula,manisan,buah-buahan nang direndam dalam air gula
donat kentang,"donat yang terbuat dari kentang tumbuk atau tepung kentang, ringan dan bertekstur lembut",donat kentang,wadai yang terbuat dari kentang yang dihaluskan
gula pasir kasar,"gula pasir dengan butiran lebih besar dan kasar daripada gula pasir pada umumnya, ada yang berwarna putih atau berwarna-warni, tidak mudah meleleh karena panas, digunakan sebagai taburan bahan kue",gula pasir kasar,"Gula nang memiliki butiran yang lebih besar dan kasar dibandingkan dengan gula pasir halus, sering digunakan dalam masakan dan kue untuk memberikan tekstur yang lebih."
susu cokelat,air susu yang ditambahkan rasa cokelat,susu cokelat,susu nang barasa cokelat
nasi tumpeng,nasi yg dibentuk spt kerucut atau gunung (untuk selamatan dsb),GAP,
pasta rigatoni,pasta berbentuk pipa,GAP,
mi juhi,"mi khas Betawi yang disajikan dengan daun selada, potongan timun, irisan kol, mi kuning, kentang rebus, juhi (cumi atau sotong), dan bumbu kacang",mi juhi,mi khas betawi
cokelat,"pohon yg bijinya dibuat campuran minuman dsb, Theobroma cacao",GAP,
daging kancing,ujung daging yang keras dan liat,GAP,
beras arborio,"beras asal Italia dengan butiran yang lebih pendek dari beras lokal, biasanya digunakan untuk membuat risoto",GAP,
masakan,"(penganan, lauk-pauk) yg dimasak",masakan,Sagala sasuatu nang dimasak
kedondong,"pohon yg buahnya berbentuk bulat telur dng rasa asam-asam manis dan bijinya keras berserabut, Spondias dulcis",kedondong,Buah mirip mangga
kue ku,"kue basah terbuat dari tepung beras pulut, dicetak dalam bentuk lonjong cembung, berisi tepung kacang hijau, biasanya berwarna merah, diberi alas daun pisang",wadai ku,kue tradisional nang terbuat dari tepung ketan dengan isian pasta kacang hijau atau kacang merah. Kue ini rancak berwarna merah dan berbentuk seperti cangkang kura-kura
minuman,barang apa yg diminum,minuman,segala sesuatu yang bisa diminum
daging merah,"daging dari ternak peliharaan, seperti sapi, babi, domba, dan kambing",GAP,
bawang cina,"bawang yang umbinya memanjang berwarna putih, berdaun geronggang; bawang bakung; bawang cina; bawang prei (Allium fistulosum)",GAP,
kacang rebus,kacang tanah yang direbus (biasanya dengan kulit-kulitnya),kacang rebus,kacang tanah nang di rebus
kue busa,"kue bertekstur renyah yang terbuat dari putih telur dan gula yang dikocok hingga kaku, kemudian dibentuk kecil-kecil atau besar",GAP,
lolipop,"permen keras yang disajikan dengan tangkai, biasanya berbentuk bulat dan berwarna-warni",lolipop,"permen nang dilapisi dengan stik, biasanya berbentuk bulat atau berbagai bentuk lainnya, dan memiliki berbagai rasa yang manis"
kue basah,jenis kue yg dikukus (spt kue lapis atau kue pisang),wadai basah,"kuih-kuih basah seperti roti pisang, nagasari, dsb"
kue delapan jam,"kue khas Palembang yang terbuat dari adonan 20 butir telur bebek, gula pasir, kental manis, ekstrak vanili dan mentega, kemudian dikukus selama delapan jam, biasanya disajikan saat Idulfitri",GAP,
tahu jepang,tahu yang memiliki tekstur yang sangat lembut,tahu jepang,"tahu yang lebih lembut dan halus dibandingkan dengan tahu biasa, biasanya dibuat dari susu kedelai dengan tekstur yang sangat lembut"
markisa(h),"nama tumbuhan dan buahnya, besarnya kira-kira sebesar sawo, kulitnya berbintik-bintik berwarna kuning atau hijau muda keputih-putihan, rasanya asam biasa dibuat sirop",GAP,
es caruk,"minuman khas Singaraja, semacam ronde, tetapi lebih lengkap dengan tambahan pisang, santan, dan sebagainya",GAP,
lasanya,"masakan khas Italia berupa lapisan lasanya, di antaranya diisi dengan olahan daging sapi cincang, keju, saus tomat, dan sebagainya, dimasak dengan cara dipanggang dalam oven",GAP,
beras hitam,"beras berwarna hitam, mengandung serat 10 kali lebih banyak dari beras putih, berbetakaroten dan zat besi tinggi, rendah karbohidrat, dan kaya nutrisi (Oryza sativa L. indica)",GAP,
daging soang,daging dari soang,daging soang,daging dari soang
durian,"jenis tumbuhan yg buahnya berkulit tebal dan berduri, Durio zibethinus",durian,"ngaran tumbuhan tarupis nang bamula matan Asia Tanggara, sakaligus ngaran buahnya nang kawa dimakan"
jagung,"terna yang termasuk suku Gramineae, berbatang pejal, tingginya mencapai 2 m, berdaun memita panjang, bunga jantan tumbuh paling atas, bunga betina di ketiak daun berbentuk bonggol, dilindungi oleh kelobot, umumnya berbiji kuning, buahnya dapat dimakan sebagai makanan pokok (Zea mays)",jagung,"salah satu makanan pokok, Zea mays"
nasi kuning,nasi kunyit,nasi kuning,nasi kuning adalah makanan khas indunisia masakan ngini diulah matan nasi nang dimasak basamaan lawan kunyit wan santan wan bumbu bumbu dengan ditambahi bumbu bumbu dan santan nasi kuning baisi rasa nang labih masin daripada nasi putih
susu tepung,air susu lembu yang dikeringkan dan dijadikan bubuk,GAP,
teriyaki,"masakan berupa potongan daging ayam, sapi, atau ikan yang direndam dalam larutan sake yang dicampur dengan jahe dan gula, lalu dipanggang",teriyaki,"adonan kue nang berbentuk bulat isiannya sayur,wortel,sosis, dan cumi-cumi"
bentul,"sejenis talas, umbinya berbentuk silinder sampai agak membulat, digunakan untuk makanan tambahan atau sayuran, Colocasia esculenta",GAP,
pisang epek,pisang panggang yang dijepit dan dilumuri gula cair,GAP,
moster,adonan yg berasal dr tumbuhan untuk penyedap makanan,GAP,
bumbu,"rempah-rempah spt asam, garam, jahe, terasi, yg dipakai untuk menyedapkan lauk-pauk",bumbu,Rampah Rampah gasan bemasak
telur,"benda bercangkang yg mengandung zat hidup bakal anak yg dihasilkan oleh unggas (ayam, itik, burung, dsb), biasanya dimakan (direbus, diceplok, didadar, dsb)",hintalu,
beras campur,beras yang berasal dari dua atau lebih varietas padi atau gabah,baras campuran,Barang Nang sudah dicampurawan macam macam jenis Baras yang lain
satai kambing,satai dari daging kambing,sate kambing,daging kambing di tatak halus halus habistu dicucuk pakai bilah lalu di banam ba bumbu kacang wan kicap
es teh tarik,"minuman khas Aceh, terbuat dari campuran teh, susu kental manis, es batu, dikocok atau diblender sampai berbuih",GAP,
bronis,"keik cokelat bertekstur padat dan lembut yang disajikan dalam bentuk potongan kotak kecil, biasanya diberi kacang-kacangan atau parutan keju di atasnya",GAP,
talas,"tumbuhan berumbi, umbinya menjadi makanan pokok di Irian; keladi; Colocasia esculenta",talas; keladi,umbi nang memiliki tekstur kasar tetapi memiliki daging nang lembut
pemanis nonkalori,pemanis pengganti gula yang tidak mengandung kalori,GAP,
jamur pangan,"jamur yang dapat dijadikan bahan makanan, dapat dibudidayakan, atau dipanen dari alam bebas; jamur konsumsi",GAP,
air es,air dingin dari lemari es,banyu is,banyu nang diberi is
pempek kerupuk,pempek yang bentuk dan teksturnya menyerupai rambut keriting,GAP,
beras recak,pecahan beras halus yang terjadi ketika ditumbuk,GAP,
jeruk jepun,"jeruk keprok yang berkulit menggelembung, sukar dikupas, dan berwarna oranye",GAP,
cincau,"tumbuhan yg daunnya dapat diperah menjadi kental untuk isi minuman, Cyclea barbata",cincau,
kacang garbanzo,"kacang yang berbentuk bulat menyerupai kemiri dengan ujung agak runcing dan berwarna krem, mengandung protein, karbohidrat, dan serat yang tinggi, biasanya dijadikan oleh-oleh sepulang berhaji (Cicer arietinum)",GAP,
beras meja,beras yang putih dan baik,GAP,
minuman berenergi,minuman ringan yang mengandung stimulan yang dirancang untuk meningkatkan energi peminumnya,GAP,
lauk,"daging, ikan, dsb (selain sayur) yg dimakan sbg teman nasi",lauk; iwak,"ikan, sayur dsb"
teh oolong,"teh tradisional Cina yang proses oksidasinya sebagian menghasilkan antioksidan seratus kali lebih besar dari vitamin C, berkhasiat untuk membersihkan racun dalam tubuh, membuat kulit lebih halus dan lembut, menurunkan kadar kolesterol jahat, kadar gula, eksem, kardiovaskular, dan sebagainya",GAP,
